ID,age,age_range,gender,education,AGR_raw,CON_raw,EXT_raw,NEU_raw,OPE_raw,educ,ethnic,region,clin_status,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5
200016,42,40 yo or older,male,3,22,17,18,19,17,some_college,white,west,typ,slightly_accurate,slightly_accurate,slightly_inaccurate,very_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,very_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_accurate
200017,28,25 to 39 yo,female,4,19,18,19,11,17,BA_plus,black,west,clin,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,slightly_accurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_accurate,moderately_inaccurate
200018,24,19 to 24 yo,female,1,20,17,18,16,16,no_HS,white,south,typ,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate
200019,29,25 to 39 yo,female,5,25,20,17,13,19,BA_plus,black,west,typ,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,very_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,very_inaccurate,very_accurate,very_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate
200020,27,25 to 39 yo,female,3,21,18,19,15,19,some_college,hispanic,midwest,typ,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,moderately_accurate,slightly_accurate
200021,45,40 yo or older,female,5,25,15,15,5,20,BA_plus,white,south,clin,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_inaccurate,very_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate
200022,18,18 yo or younger,male,3,27,20,16,22,19,some_college,other,south,typ,slightly_accurate,very_accurate,very_accurate,very_accurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_inaccurate,moderately_accurate,very_inaccurate,very_inaccurate,slightly_accurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_accurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate
200023,22,19 to 24 yo,female,3,20,21,17,19,21,some_college,white,west,typ,moderately_inaccurate,moderately_accurate,moderately_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,very_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate
200024,43,40 yo or older,female,3,23,16,20,12,23,some_college,white,west,typ,slightly_inaccurate,slightly_accurate,moderately_accurate,very_accurate,moderately_accurate,slightly_accurate,very_accurate,slightly_accurate,very_inaccurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,very_accurate,slightly_inaccurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,very_inaccurate,very_accurate,slightly_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate
200025,31,25 to 39 yo,male,3,18,18,23,13,18,some_college,white,south,typ,slightly_inaccurate,moderately_accurate,moderately_inaccurate,very_accurate,moderately_inaccurate,very_accurate,moderately_accurate,moderately_accurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,very_inaccurate
200026,55,40 yo or older,female,3,25,22,20,21,24,some_college,asian,northeast,typ,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,moderately_accurate,very_inaccurate,slightly_accurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_accurate,slightly_accurate,very_accurate,moderately_accurate,moderately_inaccurate,slightly_accurate,very_accurate,moderately_accurate,very_accurate,very_accurate,very_inaccurate
200027,20,19 to 24 yo,female,3,22,22,17,10,22,some_college,other,west,typ,moderately_inaccurate,slightly_accurate,moderately_accurate,very_accurate,moderately_accurate,very_accurate,very_accurate,moderately_accurate,slightly_accurate,very_inaccurate,very_inaccurate,very_inaccurate,slightly_inaccurate,very_accurate,very_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,very_inaccurate,very_inaccurate,moderately_accurate,very_inaccurate,moderately_accurate,moderately_accurate,very_accurate
200028,19,19 to 24 yo,female,3,16,22,22,18,22,some_college,white,midwest,typ,very_inaccurate,very_accurate,moderately_accurate,very_inaccurate,slightly_inaccurate,very_accurate,very_accurate,moderately_accurate,very_inaccurate,slightly_accurate,very_inaccurate,very_accurate,slightly_accurate,moderately_accurate,very_accurate,very_inaccurate,moderately_accurate,very_inaccurate,very_accurate,moderately_accurate,very_accurate,slightly_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate
200029,59,40 yo or older,female,4,22,18,19,13,15,BA_plus,black,midwest,typ,very_inaccurate,very_accurate,slightly_accurate,very_accurate,moderately_accurate,moderately_accurate,very_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,very_accurate,moderately_accurate,very_inaccurate,very_inaccurate,moderately_inaccurate,slightly_accurate,moderately_accurate,moderately_inaccurate,very_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate
200030,44,40 yo or older,female,1,21,20,22,15,21,no_HS,white,west,typ,very_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,slightly_accurate,very_accurate,moderately_inaccurate,slightly_accurate,moderately_accurate,moderately_accurate,very_inaccurate,slightly_accurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,very_accurate,very_inaccurate,moderately_accurate,very_accurate,slightly_inaccurate
200031,19,19 to 24 yo,female,3,21,19,19,16,19,some_college,black,south,typ,very_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,very_inaccurate,very_inaccurate,moderately_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,very_inaccurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,slightly_inaccurate
200032,30,25 to 39 yo,male,2,17,19,19,22,22,HS_grad,black,midwest,typ,slightly_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_accurate,moderately_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate,moderately_accurate,slightly_inaccurate,very_accurate,very_inaccurate,very_accurate,very_accurate,slightly_inaccurate
200033,20,19 to 24 yo,female,4,20,16,17,23,20,BA_plus,white,south,typ,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,slightly_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,very_accurate,moderately_inaccurate,slightly_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate
200034,50,40 yo or older,female,4,23,16,20,15,18,BA_plus,white,west,typ,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,very_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,very_inaccurate,slightly_inaccurate,slightly_accurate,very_accurate,very_accurate,slightly_inaccurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_accurate,very_inaccurate,moderately_accurate,very_accurate,very_inaccurate
200035,35,25 to 39 yo,female,1,23,22,16,27,20,no_HS,hispanic,south,clin,slightly_inaccurate,slightly_accurate,very_accurate,very_accurate,slightly_accurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,slightly_accurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,very_accurate,very_accurate,very_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate
200036,28,25 to 39 yo,male,5,20,23,25,23,20,BA_plus,black,midwest,clin,very_inaccurate,very_accurate,very_accurate,very_inaccurate,very_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,very_accurate,moderately_accurate,very_accurate,moderately_accurate,slightly_accurate,very_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate
200037,27,25 to 39 yo,male,5,23,21,19,16,18,BA_plus,hispanic,south,typ,very_inaccurate,moderately_accurate,very_accurate,very_accurate,moderately_accurate,slightly_accurate,moderately_accurate,moderately_inaccurate,slightly_accurate,very_accurate,very_inaccurate,very_inaccurate,moderately_accurate,very_accurate,very_accurate,slightly_accurate,moderately_accurate,very_inaccurate,slightly_accurate,moderately_inaccurate,moderately_accurate,very_inaccurate,very_accurate,slightly_accurate,moderately_inaccurate
200038,25,25 to 39 yo,male,3,22,15,15,7,16,some_college,white,midwest,typ,slightly_inaccurate,slightly_accurate,slightly_accurate,very_accurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,very_inaccurate,very_inaccurate,slightly_inaccurate,very_accurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate
200039,40,40 yo or older,female,3,22,16,21,5,14,some_college,white,midwest,typ,moderately_accurate,very_inaccurate,very_accurate,moderately_accurate,moderately_accurate,moderately_accurate,very_inaccurate,moderately_accurate,very_inaccurate,slightly_accurate,slightly_accurate,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,very_inaccurate,very_accurate,very_inaccurate,very_inaccurate
200040,19,19 to 24 yo,male,2,17,19,16,21,20,HS_grad,hispanic,south,typ,slightly_inaccurate,slightly_accurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,very_accurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate
200041,31,25 to 39 yo,female,3,23,18,21,5,16,some_college,white,south,typ,very_inaccurate,moderately_accurate,moderately_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,moderately_accurate,very_inaccurate,very_inaccurate,moderately_inaccurate,very_inaccurate,very_accurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,very_inaccurate,very_accurate,moderately_inaccurate,very_inaccurate
200042,18,18 yo or younger,female,1,21,13,13,11,17,no_HS,white,south,typ,very_inaccurate,moderately_accurate,very_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_inaccurate,moderately_accurate,slightly_accurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,moderately_accurate,very_inaccurate,moderately_accurate,moderately_accurate,very_inaccurate
200043,18,18 yo or younger,male,3,28,19,22,15,25,some_college,hispanic,south,typ,moderately_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,moderately_accurate,very_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,slightly_accurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,very_accurate,slightly_accurate,moderately_accurate,very_accurate,slightly_accurate
200044,19,19 to 24 yo,female,1,22,18,15,20,18,no_HS,hispanic,midwest,typ,slightly_accurate,moderately_accurate,moderately_inaccurate,very_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,very_accurate,very_inaccurate,moderately_accurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_accurate,slightly_inaccurate
200045,26,25 to 39 yo,female,3,25,17,20,27,25,some_college,white,south,typ,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,slightly_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,slightly_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_inaccurate
200046,21,19 to 24 yo,male,4,17,13,12,18,20,BA_plus,white,south,typ,very_inaccurate,moderately_accurate,slightly_accurate,moderately_inaccurate,moderately_accurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,very_accurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,very_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,very_accurate,very_inaccurate
200047,45,40 yo or older,male,5,25,16,17,13,17,BA_plus,white,south,typ,moderately_inaccurate,very_accurate,very_accurate,moderately_accurate,very_accurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,moderately_accurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,slightly_inaccurate,very_inaccurate,very_accurate,very_inaccurate,slightly_accurate,slightly_accurate,moderately_inaccurate
200048,26,25 to 39 yo,female,3,18,14,16,28,18,some_college,white,west,typ,very_inaccurate,very_accurate,slightly_inaccurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_inaccurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_inaccurate,slightly_accurate,very_accurate,very_inaccurate
200049,19,19 to 24 yo,female,4,12,26,21,14,18,BA_plus,hispanic,midwest,typ,moderately_inaccurate,very_inaccurate,slightly_accurate,very_inaccurate,slightly_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,very_accurate,slightly_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,very_accurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,very_inaccurate,moderately_accurate,very_accurate,very_inaccurate
200050,26,25 to 39 yo,female,3,23,18,22,20,25,some_college,hispanic,south,typ,very_inaccurate,moderately_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,very_accurate,slightly_accurate,very_inaccurate,very_inaccurate,slightly_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,very_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,very_accurate,slightly_accurate,moderately_accurate,slightly_accurate,very_accurate
200051,39,25 to 39 yo,female,5,21,14,18,22,19,BA_plus,hispanic,south,typ,very_inaccurate,very_accurate,moderately_inaccurate,very_accurate,very_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,very_inaccurate,moderately_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_accurate,moderately_accurate,very_accurate,very_inaccurate,very_accurate,moderately_accurate,very_inaccurate
200052,24,19 to 24 yo,female,4,14,21,14,27,18,BA_plus,white,midwest,typ,slightly_inaccurate,slightly_accurate,slightly_inaccurate,very_inaccurate,slightly_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_inaccurate,slightly_inaccurate,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,moderately_accurate,very_accurate,very_accurate,very_inaccurate,slightly_accurate,moderately_accurate,moderately_inaccurate
200053,22,19 to 24 yo,male,2,21,16,19,16,15,HS_grad,hispanic,northeast,typ,moderately_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate
200054,21,19 to 24 yo,female,2,19,21,21,18,22,HS_grad,black,northeast,typ,slightly_inaccurate,slightly_accurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_accurate,slightly_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate,slightly_accurate
200055,20,19 to 24 yo,female,3,19,18,19,5,16,some_college,white,midwest,typ,moderately_inaccurate,moderately_accurate,moderately_inaccurate,very_accurate,slightly_accurate,very_accurate,moderately_accurate,slightly_accurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,very_inaccurate,slightly_inaccurate,moderately_accurate,moderately_inaccurate
200056,23,19 to 24 yo,male,5,21,22,16,13,24,BA_plus,hispanic,south,typ,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,slightly_accurate,very_inaccurate,moderately_accurate,very_accurate,slightly_accurate,very_accurate,very_accurate,very_accurate,moderately_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_inaccurate,very_inaccurate,slightly_inaccurate,very_accurate,very_accurate,very_accurate,moderately_accurate,very_accurate,very_inaccurate
